solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg
tdma,cuda-cxx,4,128,128,2048,16384,512,512,6,10,host,0.001391378,0.00137987575
tdma,cuda-cxx,4,128,128,2048,16384,512,512,7,10,host,0.001386631,0.0013779075
tdma,cuda-cxx,4,128,128,2048,16384,512,512,8,10,host,0.001394382,0.00138927475
tdma,cuda-cxx,4,128,128,2048,16384,512,512,9,10,host,0.001391428,0.00138163325
tdma,fortran-original,4,128,128,4096,16384,1024,1024,0,10,device,  8.7189669999999997E-02,  8.7160812249999997E-02
tdma,fortran-original,4,128,128,4096,16384,1024,1024,1,10,device,  2.1903770000000072E-03,  2.1881490000000003E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,2,10,device,  2.1962259999999956E-03,  2.1879484999999983E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,3,10,device,  2.2005219999999964E-03,  2.1942374999999979E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,4,10,device,  2.1883239999999915E-03,  2.1838422499999982E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,5,10,device,  2.1835759999999926E-03,  2.1819467499999967E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,6,10,device,  2.1898659999999986E-03,  2.1845807500000015E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,7,10,device,  2.1946030000000033E-03,  2.1896430000000015E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,8,10,device,  2.1890649999999900E-03,  2.1839449999999996E-03
tdma,fortran-original,4,128,128,4096,16384,1024,1024,9,10,device,  2.1890549999999953E-03,  2.1842104999999952E-03
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,0,10,host,0.08239753,0.08236801025
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,1,10,host,0.002436937,0.002428246
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,2,10,host,0.002433221,0.002423146
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,3,10,host,0.002429726,0.00242479625
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,4,10,host,0.002429696,0.00242260025
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,5,10,host,0.002431459,0.00242085275
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,6,10,host,0.002438309,0.00242863725
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,7,10,host,0.002436667,0.0024259055
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,8,10,host,0.002426771,0.002419741
tdma,cuda-cxx,4,128,128,4096,16384,1024,1024,9,10,host,0.002434223,0.00242803125
